EmployeeID ,Name,Department,grossincome,Deductions,Age,regime
1,Employee_1,Marketing,274489,333147,36,New
2,Employee_2,Operations,732669,163264,53,New
3,Employee_3,IT,344867,374985,53,Old
4,Employee_4,Operations,262999,105726,47,Old
5,Employee_5,Operations,512051,94199,35,Old
6,Employee_6,Finance,1056899,494998,47,New
7,Employee_7,IT,893852,386339,26,Old
8,Employee_8,IT,619627,173561,59,Old
9,Employee_9,IT,1097156,256131,25,New
10,Employee_10,Operations,1400182,374651,49,Old
11,Employee_11,Marketing,1670973,438525,22,New
12,Employee_12,IT,565213,375317,34,New
13,Employee_13,Operations,744284,33273,24,Old
14,Employee_14,Finance,1976025,183625,46,Old
15,Employee_15,Marketing,1354258,34473,37,Old
16,Employee_16,Finance,545753,66410,42,Old
17,Employee_17,Marketing,709220,133536,34,New
18,Employee_18,Operations,1190170,411895,57,New
19,Employee_19,HR,1933341,360125,29,New
20,Employee_20,Marketing,1612210,50310,40,New
21,Employee_21,Finance,271325,88406,37,New
22,Employee_22,Operations,1801794,196755,33,New
23,Employee_23,Marketing,576570,379909,41,New
24,Employee_24,HR,1266105,293136,39,Old
25,Employee_25,HR,777834,34433,33,Old
26,Employee_26,IT,1518662,474790,46,Old
27,Employee_27,IT,1660088,293077,32,Old
28,Employee_28,Finance,906376,443236,43,Old
29,Employee_29,Marketing,822068,427452,55,Old
30,Employee_30,Marketing,1511016,194807,34,New
31,Employee_31,IT,1316521,145842,59,Old
32,Employee_32,Marketing,259980,336429,33,Old
33,Employee_33,Marketing,1043214,377265,57,New
34,Employee_34,HR,365301,389891,49,New
35,Employee_35,IT,820670,433487,48,Old
36,Employee_36,Operations,1302020,209463,34,New
37,Employee_37,IT,497180,378826,48,Old
38,Employee_38,Operations,1757474,245705,52,New
39,Employee_39,HR,1508762,28439,23,Old
40,Employee_40,Finance,882527,362970,39,Old
41,Employee_41,Marketing,1038099,409317,47,Old
42,Employee_42,HR,1867391,97776,52,New
43,Employee_43,Marketing,1331913,218391,59,New
44,Employee_44,Finance,1562188,386214,43,Old
45,Employee_45,Finance,1321470,443133,57,New
46,Employee_46,HR,646300,359489,40,New
47,Employee_47,Finance,787426,380067,35,Old
48,Employee_48,Operations,1533308,350603,35,Old
49,Employee_49,Finance,1049333,249361,50,New
50,Employee_50,Marketing,610887,216634,38,New
51,Employee_51,Marketing,1243228,439412,58,Old
52,Employee_52,Marketing,1331614,159641,30,New
53,Employee_53,Marketing,1673437,386742,22,New
54,Employee_54,Operations,1911573,177959,25,New
55,Employee_55,IT,1118164,419109,28,Old
56,Employee_56,HR,569355,355115,32,New
57,Employee_57,Marketing,993354,453520,35,New
58,Employee_58,Finance,1866561,128299,40,Old
59,Employee_59,Marketing,1424369,430615,24,New
60,Employee_60,Finance,650472,253155,29,Old
61,Employee_61,Finance,976385,292380,50,Old
62,Employee_62,Marketing,1103649,490951,58,Old
